,PLAYER_ID,RANK,PLAYER,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,YEAR,team_full_name,abbreviation,birthDate,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,draft_year,height,name,position,weight,salary,season_end,season_start
0,893,1,Michael Jordan,82,3144,837,1625,0.515,9,52,0.173,630,746,0.845,167,367,534,481,196,69,291,285,2313,2398,1.65,0.67,1984-85,Chicago Bulls,CHI,"February 17, 1963",5.3,49.7,32.7,83.5,1072.0,27.9,30.1,6.2,214.0,50.9,1984,6-6,Michael Jordan,Small Forward and Shooting Guard,195lb,550000.0,1985.0,1984.0
1,78615,14,Orlando Woolridge,77,2816,679,1225,0.554,0,5,0.0,409,521,0.785,158,277,435,135,58,38,178,185,1767,1597,0.76,0.33,1984-85,Chicago Bulls,CHI,"December 16, 1959",1.9,51.3,9.1,73.7,851.0,16.6,16.0,4.3,53.0,51.4,1981,6-9,Orlando Woolridge,Small Forward,215lb,300000.0,1985.0,1984.0
2,76497,49,Quintin Dailey,79,2101,525,1111,0.473,7,30,0.233,205,251,0.817,57,151,208,191,71,5,154,192,1262,951,1.24,0.46,1984-85,Chicago Bulls,CHI,"January 22, 1961",2.3,45.4,15.8,77.9,528.0,15.1,14.1,2.5,12.7,45.6,1982,6-3,Quintin Dailey,Shooting Guard,180lb,410000.0,1985.0,1984.0
3,77134,116,Steve Johnson,74,1659,281,516,0.545,0,3,0.0,181,252,0.718,146,291,437,64,37,62,151,265,743,886,0.42,0.25,1984-85,Chicago Bulls,CHI,"November 3, 1957",1.2,57.2,0.0,63.4,626.0,15.3,11.7,5.5,26.9,57.2,1981,6-10,Steve Johnson,Center,235lb,369000.0,1985.0,1984.0
4,76453,126,Dave Corzine,82,2062,276,568,0.486,0,1,0.0,149,200,0.745,130,292,422,140,32,64,124,189,701,892,1.13,0.26,1984-85,Chicago Bulls,CHI,"April 25, 1956",1.7,48.4,18.9,74.7,891.0,13.6,8.5,5.9,37.3,48.5,1978,6-11,Dave Corzine,Center,250lb,660000.0,1985.0,1984.0
5,77484,174,Wes Matthews,78,1523,191,386,0.495,2,16,0.125,59,85,0.694,16,51,67,354,73,12,124,133,443,604,2.86,0.59,1984-85,Chicago Bulls,CHI,,,,,,,,,,,,,,,,,,,
6,76881,197,David Greenwood,61,1523,152,332,0.458,0,1,0.0,67,94,0.713,108,280,388,78,34,21,63,190,371,622,1.24,0.54,1984-85,Chicago Bulls,CHI,,,,,,,,,,,,,,,,,,,
7,941,201,Ennis Whatley,70,1385,140,313,0.447,1,9,0.111,68,86,0.791,34,67,101,381,66,10,144,141,349,572,2.65,0.46,1984-85,Chicago Bulls,CHI,"August 11, 1962",4.6,46.8,9.7,75.5,385.0,13.0,5.6,1.8,9.6,46.9,1983,6-3,Ennis Whatley,Point Guard,177lb,200000.0,1985.0,1984.0
8,77019,210,Rod Higgins,68,942,119,270,0.441,10,37,0.27,60,90,0.667,55,92,147,73,21,13,49,91,308,332,1.49,0.43,1984-85,Chicago Bulls,CHI,"January 31, 1960",1.6,46.5,34.2,80.8,779.0,13.5,9.0,3.6,37.8,49.8,1982,6-7,Rod Higgins,Power Forward and Small Forward,200lb,160000.0,1985.0,1984.0
9,76876,215,Sidney Green,48,740,108,250,0.432,0,4,0.0,79,98,0.806,72,174,246,29,11,11,68,102,295,363,0.43,0.16,1984-85,Chicago Bulls,CHI,"January 4, 1961",0.9,45.4,3.7,73.8,679.0,12.1,7.5,6.1,17.4,45.5,1983,6-9,Sidney Green,Center and Power Forward,220lb,275000.0,1985.0,1984.0
10,77757,233,Jawann Oldham,63,993,89,192,0.464,0,1,0.0,34,50,0.68,79,157,236,31,11,127,58,166,212,440,0.53,0.19,1984-85,Chicago Bulls,CHI,,,,,,,,,,,,,,,,,,,
11,77175,260,Caldwell Jones,42,885,53,115,0.461,0,2,0.0,36,47,0.766,49,162,211,34,12,31,40,125,142,317,0.85,0.3,1984-85,Chicago Bulls,CHI,"August 4, 1950",1.4,47.4,12.3,75.6,1299.0,12.1,7.9,8.2,66.2,47.5,1973,6-11,Caldwell Jones,Power Forward and Center,217lb,500000.0,1985.0,1984.0
12,78615,31,Orlando Woolridge,70,2248,540,1090,0.495,4,23,0.174,364,462,0.788,150,200,350,213,49,47,174,186,1448,1285,1.22,0.28,1985-86,Chicago Bulls,CHI,"December 16, 1959",1.9,51.3,9.1,73.7,851.0,16.6,16.0,4.3,53.0,51.4,1981,6-9,Orlando Woolridge,Small Forward,215lb,300000.0,1986.0,1985.0
13,76804,43,George Gervin,82,2065,519,1100,0.472,4,19,0.211,283,322,0.879,78,137,215,144,49,23,161,210,1325,975,0.89,0.3,1985-86,Chicago Bulls,CHI,"April 27, 1952",2.6,50.4,27.1,84.1,1060.0,21.4,25.1,5.3,116.3,50.7,1974,6-7,George Gervin,Shooting Guard and Small Forward,180lb,806000.0,1986.0,1985.0
14,76876,67,Sidney Green,80,2307,407,875,0.465,0,8,0.0,262,335,0.782,208,450,658,139,70,37,220,292,1076,1219,0.63,0.32,1985-86,Chicago Bulls,CHI,"January 4, 1961",0.9,45.4,3.7,73.8,679.0,12.1,7.5,6.1,17.4,45.5,1983,6-9,Sidney Green,Center and Power Forward,220lb,350000.0,1986.0,1985.0
15,76093,93,Gene Banks,82,2139,356,688,0.517,0,19,0.0,183,255,0.718,178,182,360,251,81,10,139,212,895,1054,1.81,0.58,1985-86,Chicago Bulls,CHI,"May 15, 1959",2.9,53.9,4.3,73.0,468.0,15.1,11.3,5.8,31.2,53.9,1981,6-7,Gene Banks,Small Forward and Power Forward,215lb,225000.0,1986.0,1985.0
16,891,117,Charles Oakley,77,1772,281,541,0.519,0,3,0.0,178,269,0.662,255,409,664,133,68,30,175,250,740,1109,0.76,0.39,1985-86,Chicago Bulls,CHI,"December 18, 1963",2.5,47.1,25.3,76.1,1282.0,13.4,9.7,9.5,89.7,47.4,1985,6-8,Charles Oakley,Power Forward and Center,225lb,225000.0,1986.0,1985.0
17,77438,126,Kyle Macy,82,2426,286,592,0.483,58,140,0.414,73,90,0.811,41,137,178,446,81,11,117,201,703,979,3.81,0.69,1985-86,Chicago Bulls,CHI,"April 9, 1957",4.0,50.1,33.7,87.3,551.0,14.0,9.5,2.2,36.0,52.3,1979,6-3,Kyle Macy,Point Guard,175lb,305000.0,1986.0,1985.0
18,76453,140,Dave Corzine,67,1709,255,519,0.491,3,12,0.25,127,171,0.743,132,301,433,150,28,53,104,133,640,892,1.44,0.27,1985-86,Chicago Bulls,CHI,"April 25, 1956",1.7,48.4,18.9,74.7,891.0,13.6,8.5,5.9,37.3,48.5,1978,6-11,Dave Corzine,Center,250lb,710000.0,1986.0,1985.0
19,76497,157,Quintin Dailey,35,723,203,470,0.432,0,8,0.0,163,198,0.823,20,48,68,67,22,5,67,86,569,362,1.0,0.33,1985-86,Chicago Bulls,CHI,"January 22, 1961",2.3,45.4,15.8,77.9,528.0,15.1,14.1,2.5,12.7,45.6,1982,6-3,Quintin Dailey,Shooting Guard,180lb,325000.0,1986.0,1985.0
20,893,191,Michael Jordan,18,451,150,328,0.457,3,18,0.167,105,125,0.84,23,41,64,53,37,21,45,46,408,340,1.18,0.82,1985-86,Chicago Bulls,CHI,"February 17, 1963",5.3,49.7,32.7,83.5,1072.0,27.9,30.1,6.2,214.0,50.9,1984,6-6,Michael Jordan,Small Forward and Shooting Guard,195lb,630000.0,1986.0,1985.0
